timestamp,temperature.gpu,utilization.gpu [%],utilization.memory [%],memory.used [MiB],memory.total [MiB],power.draw [W],fan.speed [%],clocks.current.sm [MHz],clocks.current.memory [MHz]
2026/07/04 19:11:10.511,57.0,100.0 %,3.0 %,470.0 MiB,8151.0 MiB,39.63 W,[N/A],2692.0 MHz,12001.0 MHz
2026/07/04 19:11:11.511,57.0,100.0 %,3.0 %,470.0 MiB,8151.0 MiB,39.63 W,[N/A],2692.0 MHz,12001.0 MHz
2026/07/04 19:11:12.511,57.0,100.0 %,3.0 %,470.0 MiB,8151.0 MiB,39.54 W,[N/A],2685.0 MHz,12001.0 MHz
2026/07/04 19:11:13.511,57.0,100.0 %,3.0 %,782.0 MiB,8151.0 MiB,39.61 W,[N/A],2685.0 MHz,12001.0 MHz
2026/07/04 19:11:14.511,57.0,100.0 %,3.0 %,782.0 MiB,8151.0 MiB,39.53 W,[N/A],2670.0 MHz,12001.0 MHz
2026/07/04 19:11:15.511,57.0,100.0 %,3.0 %,782.0 MiB,8151.0 MiB,39.54 W,[N/A],2670.0 MHz,12001.0 MHz
2026/07/04 19:11:16.511,57.0,100.0 %,3.0 %,782.0 MiB,8151.0 MiB,39.56 W,[N/A],2670.0 MHz,12001.0 MHz
2026/07/04 19:11:17.511,57.0,100.0 %,3.0 %,782.0 MiB,8151.0 MiB,39.55 W,[N/A],2670.0 MHz,12001.0 MHz
2026/07/04 19:11:18.511,57.0,100.0 %,3.0 %,782.0 MiB,8151.0 MiB,39.53 W,[N/A],2670.0 MHz,12001.0 MHz
2026/07/04 19:11:19.511,57.0,100.0 %,3.0 %,782.0 MiB,8151.0 MiB,39.53 W,[N/A],2670.0 MHz,12001.0 MHz
2026/07/04 19:11:20.511,57.0,100.0 %,3.0 %,782.0 MiB,8151.0 MiB,39.51 W,[N/A],2670.0 MHz,12001.0 MHz
2026/07/04 19:11:21.511,57.0,100.0 %,3.0 %,782.0 MiB,8151.0 MiB,39.54 W,[N/A],2670.0 MHz,12001.0 MHz
2026/07/04 19:11:22.511,57.0,100.0 %,3.0 %,782.0 MiB,8151.0 MiB,39.48 W,[N/A],2670.0 MHz,12001.0 MHz
2026/07/04 19:11:23.511,57.0,100.0 %,3.0 %,782.0 MiB,8151.0 MiB,39.49 W,[N/A],2670.0 MHz,12001.0 MHz
2026/07/04 19:11:24.511,57.0,100.0 %,3.0 %,782.0 MiB,8151.0 MiB,39.49 W,[N/A],2670.0 MHz,12001.0 MHz
2026/07/04 19:11:25.511,57.0,100.0 %,3.0 %,1196.0 MiB,8151.0 MiB,39.49 W,[N/A],2670.0 MHz,12001.0 MHz
2026/07/04 19:11:26.511,56.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.61 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:27.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.67 W,[N/A],2662.0 MHz,12001.0 MHz
2026/07/04 19:11:28.511,56.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.78 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:29.511,57.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.75 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:30.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.72 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:31.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.76 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:32.511,57.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.81 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:33.511,56.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.77 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:34.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.74 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:35.511,57.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.73 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:36.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.77 W,[N/A],2662.0 MHz,12001.0 MHz
2026/07/04 19:11:37.511,57.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.74 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:38.511,57.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.75 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:39.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.79 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:40.511,57.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.73 W,[N/A],2655.0 MHz,12001.0 MHz
