timestamp, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], fan.speed [%], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/07/04 19:12:20.632, 58, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.88 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:21.633, 58, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.85 W, [N/A], 2647 MHz, 12001 MHz
2026/07/04 19:12:22.633, 58, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.83 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:23.634, 58, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.89 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:24.634, 58, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.95 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:25.635, 58, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.91 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:26.635, 58, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.86 W, [N/A], 2647 MHz, 12001 MHz
2026/07/04 19:12:27.636, 59, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.93 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:28.636, 59, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.98 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:29.637, 59, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.95 W, [N/A], 2647 MHz, 12001 MHz
2026/07/04 19:12:30.638, 59, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.90 W, [N/A], 2647 MHz, 12001 MHz
2026/07/04 19:12:31.638, 59, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.86 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:32.638, 59, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.89 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:33.639, 59, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.92 W, [N/A], 2647 MHz, 12001 MHz
2026/07/04 19:12:34.640, 59, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.86 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:35.640, 59, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.97 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:36.641, 59, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.93 W, [N/A], 2647 MHz, 12001 MHz
2026/07/04 19:12:37.641, 59, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.88 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:38.642, 59, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.93 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:39.642, 59, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.96 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:40.643, 59, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.94 W, [N/A], 2655 MHz, 12001 MHz
